day,hour,% difference
12,7,0.13663096
12,8,0.38330472
12,8,0.1451397
12,9,0.38333584
12,9,0.10725418
12,10,0.38903985
12,10,0.12609123
12,11,0.4195269
12,11,0.14436803
12,12,0.38811711
12,12,0.13490166
12,13,0.35904483
12,13,0.1357172
12,14,0.35493116
12,14,0.10524578
12,15,0.34601683
12,15,0.09461296
12,16,0.28907494
12,16,0.10734852
12,17,0.26182754
12,17,0.1038482
12,18,0.23353601
12,18,0.10596542
12,19,0.19419562
12,19,0.05537229
12,20,0.14459168
12,20,0.01267068
12,21,0.12145884
12,21,0.03140937
12,22,0.12963551
12,22,0.02903557
12,23,0.16870768
12,23,0.09137873
13,0,0.18004409
13,0,0.04881771
13,1,0.23619197
13,1,0.05849797
13,2,0.16753599
13,2,0.0782499
13,3,0.17068953
13,3,0.05088176
13,4,0.2579036
13,4,0.02122471
13,5,0.28653171
13,5,0.04142057
13,6,0.04150464
13,6,0.04523096
13,7,0.01412027
13,7,0.07426239
13,8,0.00838538
13,8,0.04212024
13,9,0.01048864
13,9,0.0640337
13,10,0.0026766
13,10,0.11049444
13,11,0.03319051
13,11,0.08779453
13,12,0.0245886
13,12,0.02168479
13,13,0.16564848
13,13,0.02123072
13,14,0.10997813
13,14,0.00126984
13,15,0.02822026
13,15,0.01595466
13,16,0.0547892
13,16,0.01428746
13,17,0.0702124
13,17,0.00855989
13,18,0.01175359
13,18,0.03273505
13,19,0.03147886
13,19,0.04853124
13,20,0.00980461
13,20,0.10764715
13,21,0.01733353
13,21,0.17720586
13,22,0.05531916
13,22,0.23056503
13,23,0.10444835
13,23,0.1102291
14,0,0.07844179
14,0,0.13132263
14,1,0.0331551
14,1,0.17243578
14,2,0.08551796
14,2,0.07949556
14,3,0.03134406
14,3,0.13984431
14,4,0.01428422
14,4,0.09252854
14,5,0.01911936
14,5,0.06994698
14,6,0.00070963
14,6,0.08549685
14,7,0.03343439
14,7,0.01685935
14,8,0.00907399
14,8,0.04876967
14,9,0.00344729
14,9,0.02258517
14,10,0.02278191
14,10,0.03118226
14,11,0.01190742
14,11,0.01349048
14,12,0.03230342
14,12,0.00082604
14,13,0.02987595
14,13,0.01597553
14,14,0.0762456
14,14,0.02393202
14,15,0.04565039
14,15,0.0165419
14,16,0.0440996
14,16,0.00545059
14,17,0.0168849
14,17,0.04732935
14,18,0.08286754
14,18,0.0684623
14,19,0.08777916
14,19,0.0658147
14,20,0.10897026
14,20,0.03325769
14,21,0.08565708
14,21,0.00524129
14,22,0.08593169
14,22,0.12044493
14,23,0.00212073
14,23,0.03999737
15,0,0.00247883
15,0,0.09383377
15,1,0.02400108
15,1,0.12993331
15,2,0.00711421
15,2,0.04841418
15,3,0.01098578
15,3,0.08826077
15,4,0.02762894
15,4,0.133383
15,5,0.00106167
15,5,0.07823348
15,6,0.03907356
15,6,0.09972093
15,7,0.02241761
15,7,0.03886119
15,8,0.04362504
15,8,0.06817534
15,9,0.14000133
15,9,0.03916374
15,10,0.01621265
15,10,0.03294535
15,11,0.02020902
15,11,0.04694044
15,12,0.05764242
15,12,0.10505457
15,13,0.01788002
15,13,0.07192701
15,14,0.01665586
15,14,0.04551279
15,15,0.02472519
15,15,0.02123867
15,16,0.00666163
15,16,0.02838284
15,17,0.04021811
15,17,0.02077751
15,18,0.08369979
15,18,0.01506447
15,19,0.03385183
15,19,0.09955223
15,20,0.03643815
15,20,0.02817732
15,21,0.06079839
15,21,0.02822416
15,22,0.00397181
15,22,0.01760935
15,23,0.0608538
15,23,0.03131816
16,0,0.05085726
16,0,0.12655047
16,1,0.08806882
16,1,0.05586367
16,2,0.1665175
16,2,0.0034419
16,3,0.04515983
16,3,0.07890202
16,4,0.03243469
16,4,0.14298442
16,5,0.12344529
16,5,0.14779096
16,6,0.21793936
16,6,0.1729135
16,7,0.27451726
16,7,0.13496516
16,8,0.225523
16,8,0.12868713
16,9,0.26183769
16,9,0.10397884
16,10,0.27241367
16,10,0.06843933
16,11,0.27348939
16,11,0.08542066
16,12,0.29624121
16,12,0.10431453
16,13,0.32486158
16,13,0.13348453
16,14,0.34175631
16,14,0.15307354
16,15,0.37192674
16,15,0.10279393
16,16,0.42026998
16,16,0.1278199
16,17,0.41574603
16,17,0.14308408
16,18,0.45070082
16,18,0.15919553
16,19,0.42907147
16,19,0.22425514
16,20,0.43165632
16,20,0.2190028
16,21,0.42578262
16,21,0.24091444
16,22,0.38853614
16,22,0.2327454
16,23,0.42922872
16,23,0.2428504
17,0,0.44944872
17,0,0.21715051
17,1,0.42027054
17,1,0.16897928
17,2,0.40161845
17,2,0.16653674
17,3,0.4200952
17,3,0.18332137
