day,hour,% difference
24,6,0.04473537
24,7,0.03262998
24,7,0.05607246
24,8,0.0047178
24,8,0.02265602
24,9,0.0060348
24,9,0.00895673
24,10,0.02022309
24,10,0.01718411
24,11,0.00477914
24,11,0.00691567
24,12,0.04956708
24,12,0.01303439
24,13,0.07336756
24,13,0.04089701
24,14,0.06498438
24,14,0.01911492
24,15,0.05363723
24,15,0.02063152
24,16,0.03920689
24,16,0.01532559
24,17,0.03356557
24,17,0.01661769
24,18,0.01466437
24,18,0.00070087
24,19,0.05112785
24,19,0.00837392
24,20,0.01248476
24,20,0.02469956
24,21,0.00042373
24,21,0.00983861
24,22,0.06473693
24,22,0.10817642
24,23,0.07059208
24,23,0.0791189
25,0,0.05457992
25,0,0.07549318
25,1,0.03727327
25,1,0.0848725
25,2,0.02250268
25,2,0.03048278
25,3,0.02147199
25,3,0.03253011
25,4,0.02209392
25,4,0.04333062
25,5,0.06932048
25,5,0.02469045
25,6,0.0177865
25,6,0.02941473
25,7,0.0168032
25,7,0.02079613
25,8,0.01382737
25,8,0.01294466
25,9,0.00426651
25,9,0.00442456
25,10,0.05810854
25,10,0.04259354
25,11,0.05904854
25,11,0.03400471
25,12,0.00931494
25,12,0.01562841
25,13,0.01167086
25,13,0.01427481
25,14,0.0041439
25,14,0.00919582
25,15,0.00243439
25,15,0.01230634
25,16,0.01806398
25,16,0.02436094
25,17,0.02208573
25,17,0.02286261
25,18,0.02359745
25,18,0.03159109
25,19,0.06307116
25,19,0.0333866
25,20,0.01926849
25,20,0.03017302
25,21,0.03445326
25,21,0.01432203
25,22,0.05129811
25,22,0.04753519
25,23,0.07564395
25,23,0.05602954
26,0,0.05878891
26,0,0.0306238
26,1,0.05725858
26,1,0.05193035
26,2,0.03598491
26,2,0.01076421
26,3,0.03443833
26,3,0.01083511
26,4,0.03212151
26,4,0.00315153
26,5,0.0458436
26,5,0.02062474
26,6,0.02464494
26,6,0.02524397
26,7,0.00214192
26,7,0.00859714
26,8,0.00476875
26,8,0.00635072
26,9,0.00264418
26,9,0.01285108
26,10,0.05552524
26,10,0.04114091
26,11,0.06571813
26,11,0.0190786
26,12,0.03752783
26,12,0.01180741
26,13,0.0173091
26,13,0.00796864
26,14,0.0156191
26,14,0.00980234
26,15,0.01991919
26,15,0.00184171
26,16,0.00669022
26,16,0.0067278
26,17,0.00430486
26,17,0.00024643
26,18,0.01804991
26,18,0.00105874
26,19,0.0002183
26,19,0.00914001
26,20,0.01283284
26,20,0.02110718
26,21,0.01244532
26,21,0.04074569
26,22,0.07006977
26,22,0.05415121
26,23,0.10864703
26,23,0.09598793
27,0,0.09323607
27,0,0.06426883
27,1,0.10305046
27,1,0.0963434
27,2,0.07253423
27,2,0.07172207
27,3,0.07568301
27,3,0.06574178
27,4,0.03528805
27,4,0.0252387
27,5,0.02932944
27,5,0.01956195
27,6,0.0265964
27,6,0.03925976
27,7,0.08510052
27,7,0.05996538
27,8,0.06410484
27,8,0.03915402
27,9,0.04338124
27,9,0.04669672
27,10,0.04738184
27,10,0.02800755
27,11,0.0327422
27,11,0.00218279
27,12,0.01299795
27,12,0.00764596
27,13,0.0334117
27,13,0.02626647
27,14,0.04548658
27,14,0.03850744
27,15,0.04476323
27,15,0.05224745
27,16,0.04750786
27,16,0.05575074
27,17,0.02404584
27,17,0.05716434
27,18,0.01618306
27,18,0.0464341
27,19,0.01943517
27,19,0.04197187
27,20,0.01147721
27,20,0.05358811
27,21,0.00624316
27,21,0.05041421
27,22,0.05393713
27,22,0.04956017
27,23,0.06643605
27,23,0.02798097
28,0,0.03966445
28,0,0.06419049
28,1,0.00396025
28,1,0.04528071
28,2,0.0339276
28,2,0.05957613
28,3,0.04112961
28,3,0.07942757
28,4,0.09137728
28,4,0.08899652
28,5,0.09299685
28,5,0.10511852
28,6,0.10155045
28,6,0.05973234
28,7,0.10376694
28,7,0.03763003
28,8,0.1040773
28,8,0.04483338
28,9,0.11436881
28,9,0.04736944
28,10,0.10266277
28,10,0.01597139
28,11,0.0731705
28,11,0.01459175
28,12,0.05085109
28,12,0.00269527
28,13,0.0556297
28,13,0.02510076
28,14,0.04363097
28,14,0.02945146
28,15,0.04093879
28,15,0.03745665
28,16,0.03522941
28,16,0.04479912
28,17,0.02481801
28,17,0.04457021
28,18,0.02754384
28,18,0.03460381
28,19,0.05356123
28,19,0.05141319
28,20,0.06122681
28,20,0.1028235
28,21,0.05422943
28,21,0.09402423
28,22,0.02017888
28,22,0.04958077
28,23,0.0001741
28,23,0.03605189
29,0,0.01596658
29,0,0.03192918
29,1,0.01532052
29,1,0.01129135
29,2,0.02027167
29,2,0.0154782
29,3,0.03396262
29,3,0.03193335
29,4,0.03155283
29,4,0.0136681
29,5,0.05799001
29,5,0.03880983
29,6,0.02519325
29,6,0.00220366
29,7,0.04084492
29,7,0.01201453
29,8,0.03184266
29,8,0.00200145
29,9,0.0080089
29,9,0.02830509
29,10,0.02386011
29,10,0.04099238
29,11,0.01978397
29,11,0.00443333
29,12,0.06314551
29,12,0.03439268
29,13,0.07078094
29,13,0.06357462
29,14,0.06676601
29,14,0.05063965
29,15,0.06053951
29,15,0.04702428
29,16,0.07786592
29,16,0.06465597
29,17,0.0568537
29,17,0.0682426
29,18,0.04943651
29,18,0.04939857
29,19,0.09394606
29,19,0.05711531
29,20,0.08736736
29,20,0.12443029
29,21,0.08765211
29,21,0.10603669
29,22,0.03629668
29,22,0.06944882
29,23,0.01597347
29,23,0.04374057
30,0,0.01498317
30,0,0.03446346
30,1,0.03488266
30,1,0.028723
30,2,0.04095593
