Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
01/01/2019,5,4,N,LZ_HOUSTON,LZEW,16.26
01/01/2019,5,1,N,LZ_LCRA,LZ,15.96
01/01/2019,5,1,N,LZ_LCRA,LZEW,15.96
01/01/2019,5,2,N,LZ_LCRA,LZ,15.82
01/01/2019,5,2,N,LZ_LCRA,LZEW,15.82
01/01/2019,5,3,N,LZ_LCRA,LZ,16.09
01/01/2019,5,3,N,LZ_LCRA,LZEW,16.09
01/01/2019,5,4,N,LZ_LCRA,LZ,16.26
01/01/2019,5,4,N,LZ_LCRA,LZEW,16.26
01/01/2019,5,1,N,LZ_NORTH,LZ,15.96
01/01/2019,5,1,N,LZ_NORTH,LZEW,15.96
01/01/2019,5,2,N,LZ_NORTH,LZ,15.82
01/01/2019,5,2,N,LZ_NORTH,LZEW,15.82
01/01/2019,5,3,N,LZ_NORTH,LZ,16.09
01/01/2019,5,3,N,LZ_NORTH,LZEW,16.09
01/01/2019,5,4,N,LZ_NORTH,LZ,16.26
01/01/2019,5,4,N,LZ_NORTH,LZEW,16.26
01/01/2019,5,1,N,LZ_RAYBN,LZ,15.96
01/01/2019,5,1,N,LZ_RAYBN,LZEW,15.96
01/01/2019,5,2,N,LZ_RAYBN,LZ,15.82
01/01/2019,5,2,N,LZ_RAYBN,LZEW,15.82
01/01/2019,5,3,N,LZ_RAYBN,LZ,16.09
01/01/2019,5,3,N,LZ_RAYBN,LZEW,16.09
01/01/2019,5,4,N,LZ_RAYBN,LZ,16.26
01/01/2019,5,4,N,LZ_RAYBN,LZEW,16.26
01/01/2019,5,1,N,LZ_SOUTH,LZ,15.96
01/01/2019,5,1,N,LZ_SOUTH,LZEW,15.96
01/01/2019,5,2,N,LZ_SOUTH,LZ,15.82
01/01/2019,5,2,N,LZ_SOUTH,LZEW,15.82
01/01/2019,5,3,N,LZ_SOUTH,LZ,16.09
01/01/2019,5,3,N,LZ_SOUTH,LZEW,16.10
01/01/2019,5,4,N,LZ_SOUTH,LZ,16.26
