CPT,ENDING,ZONEID,"	MW"
3/24/07,1:00:00,"	242","	11730"
3/24/07,1:00:00,"	244","	5853"
3/24/07,1:00:00,"	246","	2700"
3/24/07,1:15:00,"	240","	4825"
3/24/07,1:15:00,"	242","	11095"
3/24/07,1:15:00,"	244","	5590"
3/24/07,1:15:00,"	246","	2709"
3/24/07,1:30:00,"	240","	4824"
3/24/07,1:30:00,"	242","	10795"
3/24/07,1:30:00,"	244","	5565"
3/24/07,1:30:00,"	246","	2707"
3/24/07,1:45:00,"	240","	4824"
3/24/07,1:45:00,"	242","	10710"
3/24/07,1:45:00,"	244","	5551"
3/24/07,1:45:00,"	246","	2706"
3/24/07,2:00:00,"	240","	4831"
3/24/07,2:00:00,"	242","	10595"
3/24/07,2:00:00,"	244","	5536"
3/24/07,2:00:00,"	246","	2704"
3/24/07,2:15:00,"	240","	4836"
3/24/07,2:15:00,"	242","	10339"
3/24/07,2:15:00,"	244","	5426"
3/24/07,2:15:00,"	246","	2753"
3/24/07,2:30:00,"	240","	4844"
3/24/07,2:30:00,"	242","	10339"
3/24/07,2:30:00,"	244","	5418"
3/24/07,2:30:00,"	246","	2753"
3/24/07,2:45:00,"	240","	4852"
3/24/07,2:45:00,"	242","	10339"
3/24/07,2:45:00,"	244","	5410"
3/24/07,2:45:00,"	246","	2748"
3/24/07,3:00:00,"	240","	4860"
3/24/07,3:00:00,"	242","	10339"
3/24/07,3:00:00,"	244","	5402"
3/24/07,3:00:00,"	246","	2748"
3/24/07,3:15:00,"	240","	4746"
3/24/07,3:15:00,"	242","	10505"
3/24/07,3:15:00,"	244","	5386"
3/24/07,3:15:00,"	246","	2691"
3/24/07,3:30:00,"	240","	4757"
3/24/07,3:30:00,"	242","	10505"
3/24/07,3:30:00,"	244","	5391"
3/24/07,3:30:00,"	246","	2692"
3/24/07,3:45:00,"	240","	4770"
3/24/07,3:45:00,"	242","	10505"
3/24/07,3:45:00,"	244","	5393"
3/24/07,3:45:00,"	246","	2691"
3/24/07,4:00:00,"	240","	4783"
3/24/07,4:00:00,"	242","	10505"
3/24/07,4:00:00,"	244","	5394"
3/24/07,4:00:00,"	246","	2692"
3/24/07,4:15:00,"	240","	4798"
3/24/07,4:15:00,"	242","	10535"
3/24/07,4:15:00,"	244","	5395"
3/24/07,4:15:00,"	246","	2624"
3/24/07,4:30:00,"	240","	4809"
3/24/07,4:30:00,"	242","	10535"
3/24/07,4:30:00,"	244","	5396"
3/24/07,4:30:00,"	246","	2624"
3/24/07,4:45:00,"	240","	4821"
3/24/07,4:45:00,"	242","	10535"
3/24/07,4:45:00,"	244","	5512"
3/24/07,4:45:00,"	246","	2621"
3/24/07,5:00:00,"	240","	4832"
3/24/07,5:00:00,"	242","	10535"
3/24/07,5:00:00,"	244","	5540"
3/24/07,5:00:00,"	246","	2622"
3/24/07,5:15:00,"	240","	4873"
3/24/07,5:15:00,"	242","	10828"
3/24/07,5:15:00,"	244","	5699"
3/24/07,5:15:00,"	246","	2302"
3/24/07,5:30:00,"	240","	4876"
3/24/07,5:30:00,"	242","	10828"
3/24/07,5:30:00,"	244","	5736"
3/24/07,5:30:00,"	246","	2320"
3/24/07,5:45:00,"	240","	4878"
3/24/07,5:45:00,"	242","	10828"
3/24/07,5:45:00,"	244","	6080"
3/24/07,5:45:00,"	246","	2333"
3/24/07,6:00:00,"	240","	4881"
3/24/07,6:00:00,"	242","	10828"
3/24/07,6:00:00,"	244","	6385"
3/24/07,6:00:00,"	246","	2416"
3/24/07,6:15:00,"	240","	5038"
3/24/07,6:15:00,"	242","	11290"
3/24/07,6:15:00,"	244","	6543"
3/24/07,6:15:00,"	246","	2974"
3/24/07,6:30:00,"	240","	5040"
3/24/07,6:30:00,"	242","	11535"
3/24/07,6:30:00,"	244","	6556"
3/24/07,6:30:00,"	246","	2973"
3/24/07,6:45:00,"	240","	5042"
3/24/07,6:45:00,"	242","	11648"
3/24/07,6:45:00,"	244","	6574"
3/24/07,6:45:00,"	246","	2974"
3/24/07,7:00:00,"	240","	5044"
3/24/07,7:00:00,"	242","	11648"
3/24/07,7:00:00,"	244","	6599"
3/24/07,7:00:00,"	246","	2974"
3/24/07,7:15:00,"	240","	5091"
3/24/07,7:15:00,"	242","	11880"
3/24/07,7:15:00,"	244","	6733"
3/24/07,7:15:00,"	246","	2804"
3/24/07,7:30:00,"	240","	5092"
3/24/07,7:30:00,"	242","	11880"
3/24/07,7:30:00,"	244","	6764"
3/24/07,7:30:00,"	246","	2806"
3/24/07,7:45:00,"	240","	5092"
3/24/07,7:45:00,"	242","	11880"
3/24/07,7:45:00,"	244","	6797"
3/24/07,7:45:00,"	246","	2835"
3/24/07,8:00:00,"	240","	5093"
3/24/07,8:00:00,"	242","	11880"
3/24/07,8:00:00,"	244","	6832"
3/24/07,8:00:00,"	246","	2842"
3/24/07,8:15:00,"	240","	5171"
3/24/07,8:15:00,"	242","	12670"
3/24/07,8:15:00,"	244","	7177"
3/24/07,8:15:00,"	246","	2611"
3/24/07,8:30:00,"	240","	5171"
3/24/07,8:30:00,"	242","	12669"
3/24/07,8:30:00,"	244","	7227"
3/24/07,8:30:00,"	246","	2622"
3/24/07,8:45:00,"	240","	5171"
3/24/07,8:45:00,"	242","	12668"
3/24/07,8:45:00,"	244","	7273"
3/24/07,8:45:00,"	246","	2654"
3/24/07,9:00:00,"	240","	5171"
3/24/07,9:00:00,"	242","	12817"
3/24/07,9:00:00,"	244","	7315"
3/24/07,9:00:00,"	246","	2668"
3/24/07,9:15:00,"	240","	5240"
3/24/07,9:15:00,"	242","	12933"
3/24/07,9:15:00,"	244","	7485"
3/24/07,9:15:00,"	246","	2502"
3/24/07,9:30:00,"	240","	5240"
3/24/07,9:30:00,"	242","	12901"
3/24/07,9:30:00,"	244","	7512"
3/24/07,9:30:00,"	246","	2537"
3/24/07,9:45:00,"	240","	5240"
3/24/07,9:45:00,"	242","	12891"
3/24/07,9:45:00,"	244","	7532"
3/24/07,9:45:00,"	246","	2571"
3/24/07,10:00:00,"	240","	5240"
3/24/07,10:00:00,"	242","	12984"
3/24/07,10:00:00,"	244","	7548"
3/24/07,10:00:00,"	246","	2592"
3/24/07,10:15:00,"	240","	5252"
3/24/07,10:15:00,"	242","	13364"
3/24/07,10:15:00,"	244","	7695"
3/24/07,10:15:00,"	246","	2148"
3/24/07,10:30:00,"	240","	5252"
3/24/07,10:30:00,"	242","	13347"
3/24/07,10:30:00,"	244","	7700"
3/24/07,10:30:00,"	246","	2176"
3/24/07,10:45:00,"	240","	5252"
3/24/07,10:45:00,"	242","	13333"
3/24/07,10:45:00,"	244","	7702"
3/24/07,10:45:00,"	246","	2304"
3/24/07,11:00:00,"	240","	5252"
3/24/07,11:00:00,"	242","	13322"
3/24/07,11:00:00,"	244","	7703"
3/24/07,11:00:00,"	246","	2331"
3/24/07,11:15:00,"	240","	5284"
3/24/07,11:15:00,"	242","	13682"
3/24/07,11:15:00,"	244","	7961"
3/24/07,11:15:00,"	246","	1785"
3/24/07,11:30:00,"	240","	5300"
3/24/07,11:30:00,"	242","	13689"
3/24/07,11:30:00,"	244","	7963"
3/24/07,11:30:00,"	246","	1780"
3/24/07,11:45:00,"	240","	5303"
3/24/07,11:45:00,"	242","	13693"
3/24/07,11:45:00,"	244","	7965"
3/24/07,11:45:00,"	246","	1783"
3/24/07,12:00:00,"	240","	5363"
3/24/07,12:00:00,"	242","	13694"
3/24/07,12:00:00,"	244","	7969"
3/24/07,12:00:00,"	246","	1784"
3/24/07,12:15:00,"	240","	5352"
3/24/07,12:15:00,"	242","	13774"
3/24/07,12:15:00,"	244","	8202"
3/24/07,12:15:00,"	246","	1648"
3/24/07,12:30:00,"	240","	5349"
3/24/07,12:30:00,"	242","	13773"
3/24/07,12:30:00,"	244","	8217"
3/24/07,12:30:00,"	246","	1653"
3/24/07,12:45:00,"	240","	5349"
3/24/07,12:45:00,"	242","	13771"
3/24/07,12:45:00,"	244","	8222"
3/24/07,12:45:00,"	246","	1660"
3/24/07,13:00:00,"	240","	5350"
3/24/07,13:00:00,"	242","	13767"
3/24/07,13:00:00,"	244","	8219"
3/24/07,13:00:00,"	246","	1666"
3/24/07,13:15:00,"	240","	5339"
3/24/07,13:15:00,"	242","	13991"
3/24/07,13:15:00,"	244","	8332"
3/24/07,13:15:00,"	246","	1641"
3/24/07,13:30:00,"	240","	5340"
3/24/07,13:30:00,"	242","	13986"
3/24/07,13:30:00,"	244","	8324"
3/24/07,13:30:00,"	246","	1645"
3/24/07,13:45:00,"	240","	5342"
3/24/07,13:45:00,"	242","	13982"
3/24/07,13:45:00,"	244","	8319"
3/24/07,13:45:00,"	246","	1643"
3/24/07,14:00:00,"	240","	5343"
3/24/07,14:00:00,"	242","	13979"
3/24/07,14:00:00,"	244","	8317"
3/24/07,14:00:00,"	246","	1646"
3/24/07,14:15:00,"	240","	5373"
3/24/07,14:15:00,"	242","	13873"
3/24/07,14:15:00,"	244","	8315"
3/24/07,14:15:00,"	246","	1732"
3/24/07,14:30:00,"	240","	5376"
3/24/07,14:30:00,"	242","	13869"
3/24/07,14:30:00,"	244","	8319"
3/24/07,14:30:00,"	246","	1731"
3/24/07,14:45:00,"	240","	5378"
3/24/07,14:45:00,"	242","	13864"
3/24/07,14:45:00,"	244","	8325"
3/24/07,14:45:00,"	246","	1731"
3/24/07,15:00:00,"	240","	5381"
3/24/07,15:00:00,"	242","	13857"
3/24/07,15:00:00,"	244","	8329"
3/24/07,15:00:00,"	246","	1743"
3/24/07,15:15:00,"	240","	5390"
3/24/07,15:15:00,"	242","	13924"
3/24/07,15:15:00,"	244","	8392"
3/24/07,15:15:00,"	246","	1702"
3/24/07,15:30:00,"	240","	5393"
3/24/07,15:30:00,"	242","	13921"
3/24/07,15:30:00,"	244","	8397"
3/24/07,15:30:00,"	246","	1712"
3/24/07,15:45:00,"	240","	5397"
3/24/07,15:45:00,"	242","	13925"
3/24/07,15:45:00,"	244","	8403"
3/24/07,15:45:00,"	246","	1723"
3/24/07,16:00:00,"	240","	5400"
3/24/07,16:00:00,"	242","	13930"
3/24/07,16:00:00,"	244","	8408"
3/24/07,16:00:00,"	246","	1739"
3/24/07,16:15:00,"	240","	5419"
3/24/07,16:15:00,"	242","	14131"
3/24/07,16:15:00,"	244","	8460"
3/24/07,16:15:00,"	246","	1848"
3/24/07,16:30:00,"	240","	5423"
3/24/07,16:30:00,"	242","	14131"
3/24/07,16:30:00,"	244","	8475"
3/24/07,16:30:00,"	246","	1864"
3/24/07,16:45:00,"	240","	5427"
3/24/07,16:45:00,"	242","	14145"
3/24/07,16:45:00,"	244","	8486"
3/24/07,16:45:00,"	246","	1880"
3/24/07,17:00:00,"	240","	5431"
3/24/07,17:00:00,"	242","	14167"
3/24/07,17:00:00,"	244","	8495"
3/24/07,17:00:00,"	246","	1890"
3/24/07,17:15:00,"	240","	5547"
3/24/07,17:15:00,"	242","	14195"
3/24/07,17:15:00,"	244","	8561"
3/24/07,17:15:00,"	246","	2082"
3/24/07,17:30:00,"	240","	5550"
3/24/07,17:30:00,"	242","	14184"
3/24/07,17:30:00,"	244","	8561"
3/24/07,17:30:00,"	246","	2093"
3/24/07,17:45:00,"	240","	5552"
3/24/07,17:45:00,"	242","	14168"
3/24/07,17:45:00,"	244","	8556"
3/24/07,17:45:00,"	246","	2116"
3/24/07,18:00:00,"	240","	5555"
3/24/07,18:00:00,"	242","	14146"
3/24/07,18:00:00,"	244","	8551"
3/24/07,18:00:00,"	246","	2138"
3/24/07,18:15:00,"	240","	5545"
3/24/07,18:15:00,"	242","	14175"
3/24/07,18:15:00,"	244","	8588"
3/24/07,18:15:00,"	246","	2194"
3/24/07,18:30:00,"	240","	5545"
3/24/07,18:30:00,"	242","	14150"
3/24/07,18:30:00,"	244","	8590"
3/24/07,18:30:00,"	246","	2223"
3/24/07,18:45:00,"	240","	5545"
3/24/07,18:45:00,"	242","	14133"
3/24/07,18:45:00,"	244","	8589"
3/24/07,18:45:00,"	246","	2250"
3/24/07,19:00:00,"	240","	5545"
3/24/07,19:00:00,"	242","	14122"
3/24/07,19:00:00,"	244","	8585"
3/24/07,19:00:00,"	246","	2258"
3/24/07,19:15:00,"	240","	5555"
3/24/07,19:15:00,"	242","	14226"
3/24/07,19:15:00,"	244","	8631"
3/24/07,19:15:00,"	246","	2485"
3/24/07,19:30:00,"	240","	5557"
3/24/07,19:30:00,"	242","	14220"
3/24/07,19:30:00,"	244","	8648"
3/24/07,19:30:00,"	246","	2493"
3/24/07,19:45:00,"	240","	5558"
3/24/07,19:45:00,"	242","	14223"
3/24/07,19:45:00,"	244","	8679"
3/24/07,19:45:00,"	246","	2479"
3/24/07,20:00:00,"	240","	5558"
3/24/07,20:00:00,"	242","	14234"
3/24/07,20:00:00,"	244","	8727"
3/24/07,20:00:00,"	246","	2455"
3/24/07,20:15:00,"	240","	5606"
3/24/07,20:15:00,"	242","	13810"
3/24/07,20:15:00,"	244","	8836"
3/24/07,20:15:00,"	246","	2397"
3/24/07,20:30:00,"	240","	5611"
3/24/07,20:30:00,"	242","	13822"
3/24/07,20:30:00,"	244","	8853"
3/24/07,20:30:00,"	246","	2378"
3/24/07,20:45:00,"	240","	5624"
3/24/07,20:45:00,"	242","	13828"
3/24/07,20:45:00,"	244","	8812"
3/24/07,20:45:00,"	246","	2367"
3/24/07,21:00:00,"	240","	5647"
3/24/07,21:00:00,"	242","	13829"
3/24/07,21:00:00,"	244","	8711"
3/24/07,21:00:00,"	246","	2365"
3/24/07,21:15:00,"	240","	5711"
3/24/07,21:15:00,"	242","	13518"
3/24/07,21:15:00,"	244","	8304"
3/24/07,21:15:00,"	246","	2470"
3/24/07,21:30:00,"	240","	5744"
3/24/07,21:30:00,"	242","	13521"
3/24/07,21:30:00,"	244","	8243"
3/24/07,21:30:00,"	246","	2467"
3/24/07,21:45:00,"	240","	5780"
3/24/07,21:45:00,"	242","	13535"
3/24/07,21:45:00,"	244","	8188"
3/24/07,21:45:00,"	246","	2460"
3/24/07,22:00:00,"	240","	5813"
3/24/07,22:00:00,"	242","	13558"
3/24/07,22:00:00,"	244","	8133"
3/24/07,22:00:00,"	246","	2442"
3/24/07,22:15:00,"	240","	5524"
3/24/07,22:15:00,"	242","	12971"
3/24/07,22:15:00,"	244","	7591"
3/24/07,22:15:00,"	246","	1747"
3/24/07,22:30:00,"	240","	5503"
3/24/07,22:30:00,"	242","	12938"
3/24/07,22:30:00,"	244","	7395"
3/24/07,22:30:00,"	246","	1726"
3/24/07,22:45:00,"	240","	5478"
3/24/07,22:45:00,"	242","	12938"
3/24/07,22:45:00,"	244","	7213"
3/24/07,22:45:00,"	246","	1719"
3/24/07,23:00:00,"	240","	5451"
3/24/07,23:00:00,"	242","	12947"
3/24/07,23:00:00,"	244","	7157"
3/24/07,23:00:00,"	246","	1693"
3/24/07,23:15:00,"	240","	5364"
3/24/07,23:15:00,"	242","	12454"
3/24/07,23:15:00,"	244","	6654"
3/24/07,23:15:00,"	246","	1697"
3/24/07,23:30:00,"	240","	5373"
3/24/07,23:30:00,"	242","	12489"
3/24/07,23:30:00,"	244","	6635"
3/24/07,23:30:00,"	246","	1660"
3/24/07,23:45:00,"	240","	5380"
3/24/07,23:45:00,"	242","	12517"
3/24/07,23:45:00,"	244","	6622"
3/24/07,23:45:00,"	246","	1642"
3/25/07,0:00:00,"	240","	5387"
3/25/07,0:00:00,"	242","	12536"
3/25/07,0:00:00,"	244","	6609"
3/25/07,0:00:00,"	246","	1619"
3/25/07,0:15:00,"	240","	5327"
3/25/07,0:15:00,"	242","	11634"
3/25/07,0:15:00,"	244","	5751"
3/25/07,0:15:00,"	246","	1662"
3/25/07,0:30:00,"	240","	5347"
3/25/07,0:30:00,"	242","	11635"
3/25/07,0:30:00,"	244","	5743"
3/25/07,0:30:00,"	246","	1640"
3/25/07,0:45:00,"	240","	5367"
3/25/07,0:45:00,"	242","	11654"
3/25/07,0:45:00,"	244","	5737"
3/25/07,0:45:00,"	246","	1608"
3/25/07,1:00:00,"	240","	5387"
3/25/07,1:00:00,"	242","	11673"
3/25/07,1:00:00,"	244","	5725"
3/25/07,1:00:00,"	246","	1582"
3/25/07,1:15:00,"	240","	5256"
3/25/07,1:15:00,"	242","	10974"
3/25/07,1:15:00,"	244","	5503"
3/25/07,1:15:00,"	246","	1724"
3/25/07,1:30:00,"	240","	5234"
3/25/07,1:30:00,"	242","	10981"
3/25/07,1:30:00,"	244","	5476"
3/25/07,1:30:00,"	246","	1724"
3/25/07,1:45:00,"	240","	5237"
3/25/07,1:45:00,"	242","	10986"
3/25/07,1:45:00,"	244","	5460"
3/25/07,1:45:00,"	246","	1741"
3/25/07,2:00:00,"	240","	5239"
3/25/07,2:00:00,"	242","	10987"
3/25/07,2:00:00,"	244","	5443"
3/25/07,2:00:00,"	246","	1747"
3/25/07,2:15:00,"	240","	5231"
3/25/07,2:15:00,"	242","	10863"
3/25/07,2:15:00,"	244","	5342"
3/25/07,2:15:00,"	246","	1635"
3/25/07,2:30:00,"	240","	5232"
3/25/07,2:30:00,"	242","	10863"
3/25/07,2:30:00,"	244","	5330"
3/25/07,2:30:00,"	246","	1636"
3/25/07,2:45:00,"	240","	5234"
3/25/07,2:45:00,"	242","	10863"
3/25/07,2:45:00,"	244","	5318"
3/25/07,2:45:00,"	246","	1642"
3/25/07,3:00:00,"	240","	5235"
3/25/07,3:00:00,"	242","	10863"
3/25/07,3:00:00,"	244","	5306"
3/25/07,3:00:00,"	246","	1646"
3/25/07,3:15:00,"	240","	5237"
3/25/07,3:15:00,"	242","	10708"
3/25/07,3:15:00,"	244","	5289"
3/25/07,3:15:00,"	246","	1457"
3/25/07,3:30:00,"	240","	5238"
3/25/07,3:30:00,"	242","	10708"
3/25/07,3:30:00,"	244","	5276"
3/25/07,3:30:00,"	246","	1459"
3/25/07,3:45:00,"	240","	5240"
3/25/07,3:45:00,"	242","	10708"
3/25/07,3:45:00,"	244","	5272"
3/25/07,3:45:00,"	246","	1479"
3/25/07,4:00:00,"	240","	5241"
3/25/07,4:00:00,"	242","	10708"
3/25/07,4:00:00,"	244","	5271"
3/25/07,4:00:00,"	246","	1486"
3/25/07,4:15:00,"	240","	5252"
3/25/07,4:15:00,"	242","	10770"
3/25/07,4:15:00,"	244","	5271"
3/25/07,4:15:00,"	246","	1743"
3/25/07,4:30:00,"	240","	5254"
3/25/07,4:30:00,"	242","	10770"
3/25/07,4:30:00,"	244","	5273"
3/25/07,4:30:00,"	246","	1738"
3/25/07,4:45:00,"	240","	5255"
3/25/07,4:45:00,"	242","	10770"
3/25/07,4:45:00,"	244","	5390"
3/25/07,4:45:00,"	246","	1752"
3/25/07,5:00:00,"	240","	5255"
3/25/07,5:00:00,"	242","	10770"
3/25/07,5:00:00,"	244","	5417"
3/25/07,5:00:00,"	246","	1763"
3/25/07,5:15:00,"	240","	5295"
3/25/07,5:15:00,"	242","	10894"
3/25/07,5:15:00,"	244","	5499"
3/25/07,5:15:00,"	246","	1901"
3/25/07,5:30:00,"	240","	5296"
3/25/07,5:30:00,"	242","	10894"
3/25/07,5:30:00,"	244","	5528"
3/25/07,5:30:00,"	246","	1918"
3/25/07,5:45:00,"	240","	5296"
3/25/07,5:45:00,"	242","	10894"
3/25/07,5:45:00,"	244","	5869"
3/25/07,5:45:00,"	246","	1921"
3/25/07,6:00:00,"	240","	5297"
3/25/07,6:00:00,"	242","	11080"
3/25/07,6:00:00,"	244","	6164"
3/25/07,6:00:00,"	246","	2008"
3/25/07,6:15:00,"	240","	5783"
3/25/07,6:15:00,"	242","	11072"
3/25/07,6:15:00,"	244","	6194"
3/25/07,6:15:00,"	246","	2501"
3/25/07,6:30:00,"	240","	5784"
3/25/07,6:30:00,"	242","	11193"
3/25/07,6:30:00,"	244","	6202"
3/25/07,6:30:00,"	246","	2485"
3/25/07,6:45:00,"	240","	5789"
3/25/07,6:45:00,"	242","	11243"
3/25/07,6:45:00,"	244","	6220"
3/25/07,6:45:00,"	246","	2461"
3/25/07,7:00:00,"	240","	5796"
3/25/07,7:00:00,"	242","	11391"
3/25/07,7:00:00,"	244","	6248"
3/25/07,7:00:00,"	246","	2460"
3/25/07,7:15:00,"	240","	5828"
3/25/07,7:15:00,"	242","	11496"
3/25/07,7:15:00,"	244","	6393"
3/25/07,7:15:00,"	246","	2375"
3/25/07,7:30:00,"	240","	5828"
3/25/07,7:30:00,"	242","	11496"
3/25/07,7:30:00,"	244","	6427"
3/25/07,7:30:00,"	246","	2369"
3/25/07,7:45:00,"	240","	5828"
3/25/07,7:45:00,"	242","	11496"
3/25/07,7:45:00,"	244","	6459"
3/25/07,7:45:00,"	246","	2336"
3/25/07,8:00:00,"	240","	5828"
3/25/07,8:00:00,"	242","	11502"
3/25/07,8:00:00,"	244","	6491"
3/25/07,8:00:00,"	246","	2335"
3/25/07,8:15:00,"	240","	5832"
3/25/07,8:15:00,"	242","	12258"
3/25/07,8:15:00,"	244","	6643"
3/25/07,8:15:00,"	246","	2198"
3/25/07,8:30:00,"	240","	5838"
3/25/07,8:30:00,"	242","	12291"
3/25/07,8:30:00,"	244","	6676"
3/25/07,8:30:00,"	246","	2190"
3/25/07,8:45:00,"	240","	5838"
3/25/07,8:45:00,"	242","	12360"
3/25/07,8:45:00,"	244","	6701"
3/25/07,8:45:00,"	246","	2150"
3/25/07,9:00:00,"	240","	5898"
3/25/07,9:00:00,"	242","	12387"
3/25/07,9:00:00,"	244","	6728"
3/25/07,9:00:00,"	246","	2158"
3/25/07,9:15:00,"	240","	5729"
3/25/07,9:15:00,"	242","	12973"
3/25/07,9:15:00,"	244","	6876"
3/25/07,9:15:00,"	246","	2296"
3/25/07,9:30:00,"	240","	5727"
3/25/07,9:30:00,"	242","	12941"
3/25/07,9:30:00,"	244","	6895"
3/25/07,9:30:00,"	246","	2343"
3/25/07,9:45:00,"	240","	5725"
3/25/07,9:45:00,"	242","	12927"
3/25/07,9:45:00,"	244","	6912"
3/25/07,9:45:00,"	246","	2318"
3/25/07,10:00:00,"	240","	5723"
3/25/07,10:00:00,"	242","	13078"
3/25/07,10:00:00,"	244","	6926"
3/25/07,10:00:00,"	246","	2315"
3/25/07,10:15:00,"	240","	5719"
3/25/07,10:15:00,"	242","	13169"
3/25/07,10:15:00,"	244","	7061"
3/25/07,10:15:00,"	246","	2260"
3/25/07,10:30:00,"	240","	5719"
3/25/07,10:30:00,"	242","	13168"
3/25/07,10:30:00,"	244","	7071"
3/25/07,10:30:00,"	246","	2296"
3/25/07,10:45:00,"	240","	5719"
3/25/07,10:45:00,"	242","	13173"
3/25/07,10:45:00,"	244","	7083"
3/25/07,10:45:00,"	246","	2324"
3/25/07,11:00:00,"	240","	5719"
3/25/07,11:00:00,"	242","	13265"
3/25/07,11:00:00,"	244","	7093"
3/25/07,11:00:00,"	246","	2343"
3/25/07,11:15:00,"	240","	5711"
3/25/07,11:15:00,"	242","	13587"
3/25/07,11:15:00,"	244","	7170"
3/25/07,11:15:00,"	246","	2426"
3/25/07,11:30:00,"	240","	5711"
3/25/07,11:30:00,"	242","	13580"
3/25/07,11:30:00,"	244","	7183"
3/25/07,11:30:00,"	246","	2440"
3/25/07,11:45:00,"	240","	5711"
3/25/07,11:45:00,"	242","	13580"
3/25/07,11:45:00,"	244","	7191"
3/25/07,11:45:00,"	246","	2475"
3/25/07,12:00:00,"	240","	5711"
3/25/07,12:00:00,"	242","	13591"
3/25/07,12:00:00,"	244","	7200"
3/25/07,12:00:00,"	246","	2477"
3/25/07,12:15:00,"	240","	5857"
3/25/07,12:15:00,"	242","	13721"
3/25/07,12:15:00,"	244","	7393"
3/25/07,12:15:00,"	246","	2392"
3/25/07,12:30:00,"	240","	5857"
3/25/07,12:30:00,"	242","	13728"
3/25/07,12:30:00,"	244","	7406"
3/25/07,12:30:00,"	246","	2374"
3/25/07,12:45:00,"	240","	5857"
3/25/07,12:45:00,"	242","	13728"
3/25/07,12:45:00,"	244","	7420"
3/25/07,12:45:00,"	246","	2350"
3/25/07,13:00:00,"	240","	5857"
3/25/07,13:00:00,"	242","	13721"
3/25/07,13:00:00,"	244","	7431"
3/25/07,13:00:00,"	246","	2348"
3/25/07,13:15:00,"	240","	5868"
3/25/07,13:15:00,"	242","	13775"
3/25/07,13:15:00,"	244","	7474"
3/25/07,13:15:00,"	246","	2281"
3/25/07,13:30:00,"	240","	5868"
3/25/07,13:30:00,"	242","	13786"
3/25/07,13:30:00,"	244","	7479"
3/25/07,13:30:00,"	246","	2300"
3/25/07,13:45:00,"	240","	5866"
3/25/07,13:45:00,"	242","	13787"
3/25/07,13:45:00,"	244","	7482"
3/25/07,13:45:00,"	246","	2316"
3/25/07,14:00:00,"	240","	5866"
3/25/07,14:00:00,"	242","	13800"
3/25/07,14:00:00,"	244","	7485"
3/25/07,14:00:00,"	246","	2324"
3/25/07,14:15:00,"	240","	5766"
3/25/07,14:15:00,"	242","	14397"
3/25/07,14:15:00,"	244","	7597"
3/25/07,14:15:00,"	246","	2631"
3/25/07,14:30:00,"	240","	5766"
3/25/07,14:30:00,"	242","	14453"
3/25/07,14:30:00,"	244","	7602"
3/25/07,14:30:00,"	246","	2623"
3/25/07,14:45:00,"	240","	5766"
3/25/07,14:45:00,"	242","	14493"
3/25/07,14:45:00,"	244","	7606"
3/25/07,14:45:00,"	246","	2557"
3/25/07,15:00:00,"	240","	5766"
3/25/07,15:00:00,"	242","	14517"
3/25/07,15:00:00,"	244","	7615"
3/25/07,15:00:00,"	246","	2548"
3/25/07,15:15:00,"	240","	5771"
3/25/07,15:15:00,"	242","	14151"
3/25/07,15:15:00,"	244","	7667"
3/25/07,15:15:00,"	246","	2478"
3/25/07,15:30:00,"	240","	5771"
3/25/07,15:30:00,"	242","	14141"
3/25/07,15:30:00,"	244","	7676"
3/25/07,15:30:00,"	246","	2505"
3/25/07,15:45:00,"	240","	5778"
3/25/07,15:45:00,"	242","	14126"
3/25/07,15:45:00,"	244","	7681"
3/25/07,15:45:00,"	246","	2568"
3/25/07,16:00:00,"	240","	5794"
3/25/07,16:00:00,"	242","	14106"
3/25/07,16:00:00,"	244","	7684"
3/25/07,16:00:00,"	246","	2600"
3/25/07,16:15:00,"	240","	5798"
3/25/07,16:15:00,"	242","	14114"
3/25/07,16:15:00,"	244","	7731"
3/25/07,16:15:00,"	246","	2803"
3/25/07,16:30:00,"	240","	5857"
3/25/07,16:30:00,"	242","	14097"
3/25/07,16:30:00,"	244","	7731"
3/25/07,16:30:00,"	246","	2785"
3/25/07,16:45:00,"	240","	5857"
3/25/07,16:45:00,"	242","	14092"
3/25/07,16:45:00,"	244","	7731"
3/25/07,16:45:00,"	246","	2727"
3/25/07,17:00:00,"	240","	5857"
3/25/07,17:00:00,"	242","	14101"
3/25/07,17:00:00,"	244","	7731"
3/25/07,17:00:00,"	246","	2704"
3/25/07,17:15:00,"	240","	5858"
3/25/07,17:15:00,"	242","	14305"
3/25/07,17:15:00,"	244","	7660"
3/25/07,17:15:00,"	246","	2881"
3/25/07,17:30:00,"	240","	5857"
3/25/07,17:30:00,"	242","	14306"
3/25/07,17:30:00,"	244","	7664"
3/25/07,17:30:00,"	246","	2895"
3/25/07,17:45:00,"	240","	5857"
3/25/07,17:45:00,"	242","	14303"
3/25/07,17:45:00,"	244","	7669"
3/25/07,17:45:00,"	246","	2926"
3/25/07,18:00:00,"	240","	5856"
3/25/07,18:00:00,"	242","	14296"
3/25/07,18:00:00,"	244","	7680"
3/25/07,18:00:00,"	246","	2931"
3/25/07,18:15:00,"	240","	5871"
3/25/07,18:15:00,"	242","	14375"
3/25/07,18:15:00,"	244","	7754"
3/25/07,18:15:00,"	246","	3039"
3/25/07,18:30:00,"	240","	5871"
3/25/07,18:30:00,"	242","	14362"
