CPT,ENDING,ZONEID,"	MW"
1/2/07,5:45:00,"	244","	9917"
1/2/07,5:45:00,"	246","	2465"
1/2/07,6:00:00,"	240","	6540"
1/2/07,6:00:00,"	242","	16454"
1/2/07,6:00:00,"	244","	10564"
1/2/07,6:00:00,"	246","	2542"
1/2/07,6:15:00,"	240","	7706"
1/2/07,6:15:00,"	242","	18641"
1/2/07,6:15:00,"	244","	10684"
1/2/07,6:15:00,"	246","	2578"
1/2/07,6:30:00,"	240","	7706"
1/2/07,6:30:00,"	242","	18730"
1/2/07,6:30:00,"	244","	10773"
1/2/07,6:30:00,"	246","	2579"
1/2/07,6:45:00,"	240","	7706"
1/2/07,6:45:00,"	242","	18868"
1/2/07,6:45:00,"	244","	10817"
1/2/07,6:45:00,"	246","	2578"
1/2/07,7:00:00,"	240","	7706"
1/2/07,7:00:00,"	242","	18868"
1/2/07,7:00:00,"	244","	10850"
1/2/07,7:00:00,"	246","	2581"
1/2/07,7:15:00,"	240","	7699"
1/2/07,7:15:00,"	242","	19267"
1/2/07,7:15:00,"	244","	10989"
1/2/07,7:15:00,"	246","	2471"
1/2/07,7:30:00,"	240","	7659"
1/2/07,7:30:00,"	242","	19267"
1/2/07,7:30:00,"	244","	11020"
1/2/07,7:30:00,"	246","	2471"
1/2/07,7:45:00,"	240","	7619"
1/2/07,7:45:00,"	242","	19267"
1/2/07,7:45:00,"	244","	11028"
1/2/07,7:45:00,"	246","	2472"
1/2/07,8:00:00,"	240","	7579"
1/2/07,8:00:00,"	242","	19267"
1/2/07,8:00:00,"	244","	11011"
1/2/07,8:00:00,"	246","	2473"
1/2/07,8:15:00,"	240","	7427"
1/2/07,8:15:00,"	242","	18486"
1/2/07,8:15:00,"	244","	10883"
1/2/07,8:15:00,"	246","	2343"
1/2/07,8:30:00,"	240","	7292"
1/2/07,8:30:00,"	242","	18499"
1/2/07,8:30:00,"	244","	10863"
1/2/07,8:30:00,"	246","	2331"
1/2/07,8:45:00,"	240","	7142"
1/2/07,8:45:00,"	242","	18507"
1/2/07,8:45:00,"	244","	10835"
1/2/07,8:45:00,"	246","	2329"
1/2/07,9:00:00,"	240","	6992"
1/2/07,9:00:00,"	242","	18509"
1/2/07,9:00:00,"	244","	10799"
1/2/07,9:00:00,"	246","	2331"
1/2/07,9:15:00,"	240","	6919"
1/2/07,9:15:00,"	242","	18102"
1/2/07,9:15:00,"	244","	10851"
1/2/07,9:15:00,"	246","	2286"
1/2/07,9:30:00,"	240","	6909"
1/2/07,9:30:00,"	242","	18103"
1/2/07,9:30:00,"	244","	10815"
1/2/07,9:30:00,"	246","	2287"
1/2/07,9:45:00,"	240","	6899"
