CPT,"ENDING	",ZONEID,MW
8/1/01,22:00:00,"	26","	13913"
8/1/01,22:00:00,"	28","	30294"
8/1/01,22:15:00,"	24","	3934"
8/1/01,22:15:00,"	26","	13212"
8/1/01,22:15:00,"	28","	28548"
8/1/01,22:30:00,"	24","	3973"
8/1/01,22:30:00,"	26","	13261"
8/1/01,22:30:00,"	28","	28177"
8/1/01,22:45:00,"	24","	3927"
8/1/01,22:45:00,"	26","	13128"
8/1/01,22:45:00,"	28","	27768"
8/1/01,23:00:00,"	24","	3969"
8/1/01,23:00:00,"	26","	13425"
8/1/01,23:00:00,"	28","	27381"
8/1/01,23:15:00,"	24","	3729"
8/1/01,23:15:00,"	26","	12210"
8/1/01,23:15:00,"	28","	26329"
8/1/01,23:30:00,"	24","	3637"
8/1/01,23:30:00,"	26","	11855"
8/1/01,23:30:00,"	28","	25942"
8/1/01,23:45:00,"	24","	3545"
8/1/01,23:45:00,"	26","	11527"
8/1/01,23:45:00,"	28","	25714"
8/2/01,0:00:00,"	24","	3455"
8/2/01,0:00:00,"	26","	11139"
8/2/01,0:00:00,"	28","	25548"
8/2/01,0:15:00,"	24","	2974"
8/2/01,0:15:00,"	26","	10902"
8/2/01,0:15:00,"	28","	24944"
8/2/01,0:30:00,"	24","	2882"
8/2/01,0:30:00,"	26","	10635"
8/2/01,0:30:00,"	28","	24789"
8/2/01,0:45:00,"	24","	2800"
8/2/01,0:45:00,"	26","	10427"
8/2/01,0:45:00,"	28","	24575"
8/2/01,1:00:00,"	24","	2692"
8/2/01,1:00:00,"	26","	10055"
8/2/01,1:00:00,"	28","	24359"
8/2/01,1:15:00,"	24","	2623"
8/2/01,1:15:00,"	26","	10239"
8/2/01,1:15:00,"	28","	23763"
8/2/01,1:30:00,"	24","	2561"
8/2/01,1:30:00,"	26","	10121"
8/2/01,1:30:00,"	28","	23531"
8/2/01,1:45:00,"	24","	2533"
8/2/01,1:45:00,"	26","	9997"
8/2/01,1:45:00,"	28","	23324"
8/2/01,2:00:00,"	24","	2472"
8/2/01,2:00:00,"	26","	9895"
8/2/01,2:00:00,"	28","	23093"
8/2/01,2:15:00,"	24","	2510"
8/2/01,2:15:00,"	26","	9687"
8/2/01,2:15:00,"	28","	22666"
8/2/01,2:30:00,"	24","	2499"
8/2/01,2:30:00,"	26","	9569"
8/2/01,2:30:00,"	28","	22531"
8/2/01,2:45:00,"	24","	2493"
8/2/01,2:45:00,"	26","	9474"
8/2/01,2:45:00,"	28","	22411"
8/2/01,3:00:00,"	24","	2483"
8/2/01,3:00:00,"	26","	9313"
8/2/01,3:00:00,"	28","	22296"
8/2/01,3:15:00,"	24","	2542"
8/2/01,3:15:00,"	26","	9318"
8/2/01,3:15:00,"	28","	21824"
8/2/01,3:30:00,"	24","	2537"
8/2/01,3:30:00,"	26","	9270"
8/2/01,3:30:00,"	28","	21732"
8/2/01,3:45:00,"	24","	2526"
8/2/01,3:45:00,"	26","	9230"
8/2/01,3:45:00,"	28","	21647"
8/2/01,4:00:00,"	24","	2528"
8/2/01,4:00:00,"	26","	9161"
8/2/01,4:00:00,"	28","	21582"
8/2/01,4:15:00,"	24","	2666"
8/2/01,4:15:00,"	26","	9216"
8/2/01,4:15:00,"	28","	21332"
8/2/01,4:30:00,"	24","	2651"
8/2/01,4:30:00,"	26","	9213"
8/2/01,4:30:00,"	28","	21320"
8/2/01,4:45:00,"	24","	2645"
8/2/01,4:45:00,"	26","	9232"
8/2/01,4:45:00,"	28","	21329"
8/2/01,5:00:00,"	24","	2611"
8/2/01,5:00:00,"	26","	9199"
8/2/01,5:00:00,"	28","	21359"
8/2/01,5:15:00,"	24","	2566"
8/2/01,5:15:00,"	26","	9410"
8/2/01,5:15:00,"	28","	21651"
8/2/01,5:30:00,"	24","	2568"
8/2/01,5:30:00,"	26","	9436"
8/2/01,5:30:00,"	28","	21705"
8/2/01,5:45:00,"	24","	2538"
8/2/01,5:45:00,"	26","	9370"
8/2/01,5:45:00,"	28","	21860"
8/2/01,6:00:00,"	24","	2563"
8/2/01,6:00:00,"	26","	9558"
8/2/01,6:00:00,"	28","	21983"
8/2/01,6:15:00,"	24","	2635"
8/2/01,6:15:00,"	26","	10058"
8/2/01,6:15:00,"	28","	22653"
8/2/01,6:30:00,"	24","	2584"
8/2/01,6:30:00,"	26","	9919"
8/2/01,6:30:00,"	28","	22810"
8/2/01,6:45:00,"	24","	2605"
8/2/01,6:45:00,"	26","	9900"
8/2/01,6:45:00,"	28","	22888"
8/2/01,7:00:00,"	24","	2564"
8/2/01,7:00:00,"	26","	9527"
8/2/01,7:00:00,"	28","	22987"
8/2/01,7:15:00,"	24","	2745"
8/2/01,7:15:00,"	26","	10352"
