area-code,day,hour,% difference
0,20,10,0.39755962
0,20,10,0.0464357
0,20,11,0.29442559
0,20,11,0.0502464
0,20,12,0.24383003
0,20,12,9.86E-05
0,20,13,0.25752751
0,20,13,0.04659413
0,20,14,0.1335345
0,20,14,0.00036624
0,20,15,0.11019698
0,20,15,0.04542414
0,20,16,0.07836452
0,20,16,0.01245013
0,20,17,0.16702497
0,20,17,0.10363746
0,20,18,0.13449245
0,20,18,0.08224244
0,20,19,0.22811156
0,20,19,0.00848644
0,20,20,0.22366125
0,20,20,0.03071947
0,20,21,0.26497875
0,20,21,0.11000274
0,20,22,0.19365761
0,20,22,0.0938986
0,20,23,0.20159126
0,20,23,0.07311085
0,21,0,0.18941553
0,21,0,0.10502201
0,21,1,0.22871224
0,21,1,0.11900311
0,21,2,0.30248652
0,21,2,0.16040368
0,21,3,0.30549945
0,21,3,0.17859221
0,21,4,0.26004158
0,21,4,0.06793894
0,21,5,0.21682028
0,21,5,6.99E-02
0,21,6,0.16242823
0,21,6,0.026331
0,21,7,0.18790724
0,21,7,0.03616309
0,21,8,0.18104677
0,21,8,0.07335184
0,21,9,0.13614364
0,21,9,0.01825047
0,21,10,0.13535028
0,21,10,0.01423444
0,21,11,0.27333262
0,21,11,0.03229928
0,21,12,0.1641675
0,21,12,0.00400761
0,21,13,0.19785816
0,21,13,0.02932856
0,21,14,0.10784911
0,21,14,0.01451714
0,21,15,0.11001917
0,21,15,0.00837527
0,21,16,0.08102145
0,21,16,0.0357714
0,21,17,0.02660879
0,21,17,0.04028987
0,21,18,0.00267523
0,21,18,0.09902139
0,21,19,0.00276149
0,21,19,0.08303975
0,21,20,0.04830336
0,21,20,0.03749861
0,21,21,0.05047401
0,21,21,0.05864943
0,21,22,0.00407301
0,21,22,0.11888675
0,21,23,0.06268189
0,21,23,0.09670537
0,22,0,0.00585728
0,22,0,0.0978104
0,22,1,0.01248734
0,22,1,0.02876494
0,22,2,0.00754009
0,22,2,0.07379012
0,22,3,0.15085258
0,22,3,0.00769075
0,22,4,0.18232909
0,22,4,0.1043316
0,22,5,0.15414879
0,22,5,0.00531677
0,22,6,0.02075876
0,22,6,0.03601669
0,22,7,0.01108522
0,22,7,0.03368723
0,22,8,0.07243571
0,22,8,0.07751104
0,22,9,0.01888441
0,22,9,0.02146758
0,22,10,0.04153644
0,22,10,0.06951199
0,22,11,0.12184703
0,22,11,0.14176315
0,22,12,0.1110055
0,22,12,0.10288481
0,22,13,0.0557293
0,22,13,0.0787187
0,22,14,0.02534907
0,22,14,0.05068812
0,22,15,0.0643378
0,22,15,0.11908138
0,22,16,0.06725215
0,22,16,0.13766383
0,22,17,0.0755169
0,22,17,0.12174662
0,22,18,0.01874738
0,22,18,0.05874229
0,22,19,0.03886437
0,22,19,0.04485685
0,22,20,0.07435231
0,22,20,0.02487002
0,22,21,0.05817389
0,22,21,0.04903712
0,22,22,0.02550997
0,22,22,0.10666606
0,22,23,0.06771583
0,22,23,0.1386946
0,23,0,0.12570978
0,23,0,0.20404016
0,23,1,0.1437696
0,23,1,0.20136936
0,23,2,0.11195446
0,23,2,0.19795885
0,23,3,0.10133187
0,23,3,0.2000246
0,23,4,0.14413543
0,23,4,0.20967928
0,23,5,0.14818155
0,23,5,0.25059494
0,23,6,0.24899965
0,23,6,0.10847826
0,23,7,0.28783939
0,23,7,0.07258601
0,23,8,0.3106593
0,23,8,0.08001985
0,23,9,0.28240546
0,23,9,0.06371955
0,23,10,0.31267814
0,23,10,0.09802685
0,23,11,0.33921522
0,23,11,0.12126296
0,23,12,0.33553555
0,23,12,0.15991247
0,23,13,0.28547555
0,23,13,0.15685578
0,23,14,0.24704284
0,23,14,0.11881579
0,23,15,0.17324854
0,23,15,0.08724701
0,23,16,0.12174615
0,23,16,0.08237242
0,23,17,0.03317286
0,23,17,0.02916736
0,23,18,0.07410906
0,23,18,0.05890902
0,23,19,0.05363974
0,23,19,0.03845654
0,23,20,0.00754592
0,23,20,0.02464528
0,23,21,0.03246179
0,23,21,0.0285421
0,23,22,0.03050532
0,23,22,0.00289079
0,23,23,0.08366468
0,23,23,0.03119972
0,24,0,0.0965849
0,24,0,0.00580426
0,24,1,0.16065673
0,24,1,0.04340682
0,24,2,0.17453137
0,24,2,0.10173097
0,24,3,0.15756117
0,24,3,0.10728624
0,24,4,0.18055015
0,24,4,0.12578005
0,24,5,0.215854
0,24,5,0.02530198
0,24,6,0.00363419
0,24,6,0.07016318
0,24,7,0.13315536
0,24,7,0.00806241
0,24,8,0.20445797
0,24,8,0.02158832
0,24,9,0.16740381
0,24,9,0.03760655
0,24,10,0.15206671
0,24,10,0.05505902
0,24,11,0.17922091
0,24,11,0.02655033
0,24,12,0.25147683
0,24,12,0.02928039
0,24,13,0.12620264
0,24,13,0.05620453
0,24,14,0.1216039
0,24,14,0.00759779
0,24,15,0.07769162
0,24,15,0.03183728
0,24,16,0.01486006
0,24,16,0.06626954
0,24,17,0.03349043
0,24,17,0.06039515
0,24,18,0.08771299
0,24,18,0.09158516
0,24,19,0.04590591
0,24,19,0.1090154
0,24,20,0.19110149
0,24,20,0.12586412
0,24,21,0.22197749
0,24,21,0.16999044
0,24,22,0.1544281
0,24,22,0.20117785
0,24,23,0.10901519
0,24,23,0.12204877
0,25,0,0.201859
0,25,0,0.27762367
0,25,1,0.0449135
0,25,1,0.26616662
0,25,2,0.05019245
0,25,2,0.1995492
0,25,3,0.13049731
0,25,3,0.17273972
0,25,4,0.15294379
0,25,4,0.16437416
