Plant Code,Plant Name,State,Sector Group,Sector Code,Prime Mover,Fuel Code,Aggregated Fuel Group,Generation (kWh),Useful Thermal Output (MMBtu),Total Fuel Consumption (MMBtu),Fuel Consumption for Electric Generation (MMBtu),"
 Fuel Consumption for Useful Thermal Output (MMBtu)",Quantity of Fuel Consumed,Fuel Units,Tons of CO2 Emissions,Metric Tonnes of CO2 Emissions,NERC Region,Balancing Authority Code,Balancing Authority Name,EIA Balancing Authority Region
55154,Lost Pines 1 Power Project,TX,ELECTRIC POWER,1.0,CT,NG,GAS,1556483000.0,0.0,17730938.0,17730938.0,0.0,17315065.0,Mcf,1037252.63345801,940989.41618254,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
55168,Bastrop Energy Center,TX,ELECTRIC POWER,2.0,CA,NG,GAS,736242000.0,0.0,1442117.0,1442117.0,0.0,1403397.0,Mcf,84363.2556836289,76533.8434941748,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
55168,Bastrop Energy Center,TX,ELECTRIC POWER,2.0,CT,NG,GAS,1574786000.0,0.0,16854049.0,16854049.0,0.0,16439221.0,Mcf,985954.984991793,894452.494776189,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
55172,Bosque County Peaking,TX,ELECTRIC POWER,2.0,CA,NG,GAS,1523067000.0,0.0,613682.0,613682.0,0.0,603151.0,Mcf,35900.1464336394,32568.3991958989,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
55172,Bosque County Peaking,TX,ELECTRIC POWER,2.0,CT,NG,GAS,2733832000.0,0.0,29097922.0,29097922.0,0.0,28629293.0,Mcf,1702216.55631844,1544240.7296729,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
55176,Eastman Cogeneration Facility,TX,ELECTRIC POWER,3.0,CA,NG,GAS,526567410.0,0.0,1606370.0,1606370.0,0.0,1590586.0,Mcf,93971.989119129,85250.8292834337,MRO,SWPP,Southwest Power Pool,Central
55176,Eastman Cogeneration Facility,TX,ELECTRIC POWER,3.0,CT,NG,GAS,1945835520.0,6722173.0,23262847.0,12420632.0,10842215.0,23030733.0,Mcf,1360867.05127956,1234570.49013841,MRO,SWPP,Southwest Power Pool,Central
55187,Channelview Cogeneration Plant,TX,ELECTRIC POWER,3.0,CA,NG,GAS,783851000.0,0.0,2844757.0,2844757.0,0.0,2775670.0,Mcf,166417.122985716,150972.623592231,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
55187,Channelview Cogeneration Plant,TX,ELECTRIC POWER,3.0,CT,NG,GAS,4753132000.0,13896619.0,55486909.0,31106876.0,24380033.0,54115522.0,Mcf,3245961.52119505,2944716.9746848,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
55206,Corpus Christi Energy Center,TX,ELECTRIC POWER,3.0,CA,NG,GAS,337022000.0,284708.0,1184249.0,732331.0,451918.0,1165354.0,Mcf,69278.0829711333,62848.6645841725,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
55206,Corpus Christi Energy Center,TX,ELECTRIC POWER,3.0,CT,NG,GAS,1654852000.0,5133315.0,18557509.0,10409388.0,8148121.0,18232926.0,Mcf,1085606.69946907,984855.937103398,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
55215,Odessa-Ector Power Plant,TX,ELECTRIC POWER,2.0,CA,NG,GAS,2864880000.0,0.0,5248693.0,5248693.0,0.0,5093180.0,Mcf,307046.397458648,278550.664482126,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
55215,Odessa-Ector Power Plant,TX,ELECTRIC POWER,2.0,CT,NG,GAS,4502070000.0,0.0,46895939.0,46895939.0,0.0,45518145.0,Mcf,2743393.2838881,2488790.06068049,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
55223,Ennis Power Company LLC,TX,ELECTRIC POWER,2.0,CA,NG,GAS,511807000.0,0.0,0.0,0.0,0.0,0.0,Mcf,0.0,0.0,TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
