date,plant_id,eia,epa,valid
2010Q4,3504,14102.92,15913.31,True
2010Q4,3507,0.0,6.0,True
2010Q4,3548,99821.0,104570.93000000001,True
2010Q4,3559,6171.679,9922.29,True
2010Q4,3561,3.0,0.0,True
2010Q4,3574,0.0,0.0,True
2010Q4,3576,1125.0,1174.75,True
2010Q4,3601,92043.0,98259.33,True
2010Q4,3602,32640.568,28506.31,True
2010Q4,3604,72137.966,77474.41999999998,True
2010Q4,3609,8189.0,10049.0,True
2010Q4,3611,65187.0,73395.75,True
2010Q4,3612,61770.0,95672.75,True
2010Q4,7512,-1262.0,95672.75,True
2010Q4,3613,-1.0,-1.0,False
2010Q4,3628,5625.0,5746.36,True
2010Q4,3631,28437.0,25589.32,True
2010Q4,4195,4854.947,379.25,True
2010Q4,4266,0.0,0.0,True
2010Q4,4937,114066.0,124106.51,True
2010Q4,4939,472397.0,489400.84,True
2010Q4,6136,983746.0,1036134.0,True
2010Q4,6139,2689650.0,2809987.83,True
2010Q4,6146,4631453.0,4995643.449999999,True
2010Q4,6147,3499782.0,3734138.0,True
2010Q4,6178,1311873.0,1372840.29,True
2010Q4,6179,1973135.0,2081670.1800000002,True
2010Q4,6180,1259545.0,2224655.01,True
2010Q4,6181,1495954.0,1566542.0,True
2010Q4,6183,756919.0,840892.75,True
2010Q4,6193,1778463.0,1892112.3,True
2010Q4,6194,1857843.0,1955013.26,True
2010Q4,6243,11828.499,10826.069999999998,True
2010Q4,6648,838649.0,914566.52,True
2010Q4,7030,587853.0,668395.0,True
2010Q4,7097,1355575.0,1420081.5,True
2010Q4,7325,146649.483,167100.95,True
2010Q4,55545,413903.0,422897.14,True
2010Q4,7900,430426.0,450012.2900000001,True
2010Q4,7902,1055161.0,1131362.32,True
2010Q4,8063,4035.0,4069.11,True
2010Q4,10298,464139.0,611744.11,True
2010Q4,50109,29562.0,30065.18,True
2010Q4,50137,1364.373,1252.62,True
2010Q4,50615,-1.0,-1.0,False
2010Q4,50625,782063.0,1083246.04,True
2010Q4,50815,671434.0,692909.63,True
2010Q4,52071,809443.0,900685.62,True
2010Q4,52088,243581.0,302701.8,True
2010Q4,52176,269.0,279.37,True
2010Q4,54817,370421.0,382420.58,True
2010Q4,55015,579565.0,667358.72,True
2010Q4,55047,692885.0,807989.5800000001,True
2010Q4,55062,861471.0,879953.6400000001,True
2010Q4,55064,422433.0,531601.26,True
2010Q4,55065,418327.0,426939.62,True
2010Q4,55086,621839.0,960088.05,True
2010Q4,55091,84364.0,87892.28,True
2010Q4,55097,514291.0,378055.39,True
2010Q4,55104,130519.796,126158.74,True
2010Q4,10789,261266.0,867967.54,True
2010Q4,55123,299986.0,324139.43000000005,True
2010Q4,55132,186915.0,194589.72,True
2010Q4,55137,282268.0,306281.55000000005,True
2010Q4,55139,511704.0,362065.32,True
2010Q4,55144,292445.0,299582.15,True
2010Q4,55153,933733.0,591812.0,True
2010Q4,55154,972032.0,621778.22,True
2010Q4,55168,170105.0,167010.61,True
2010Q4,55172,6224.0,5990.52,True
2010Q4,55176,184859.69,194627.94,True
2010Q4,55187,1248213.0,1945202.8599999999,True
2010Q4,55206,402253.0,569501.3700000001,True
2010Q4,55215,515377.0,334986.24,True
2010Q4,55223,149275.24,127528.92000000001,True
2010Q4,55226,833587.0,855989.75,True
2010Q4,55230,616123.0,630851.76,True
2010Q4,55299,487707.0,653064.37,True
2010Q4,55320,1406408.0,1020577.73,True
2010Q4,55327,761065.0,745536.1799999999,True
2010Q4,55357,472786.0,486612.26,True
2010Q4,55358,450345.0,462330.5,True
2010Q4,55365,8025.0,8115.379999999999,True
2010Q4,55464,1267019.0,2128222.83,True
2010Q4,55470,1164214.0,0.0,True
2010Q4,55480,1505656.0,1042210.94,True
2010Q4,55664,102281.0,108923.78,True
2010Q4,56326,5430.0,6067.16,True
2010Q4,56349,77795.0,67325.85,True
2010Q4,56350,197497.0,199567.41999999998,True
2010Q4,56603,32255.969,20156.36,True
2010Q4,56604,11060.424,14698.52,True
2010Q4,56611,-1.0,-1.0,False
2010Q4,56674,42709.0,44029.27,True
2010Q4,56806,274206.0,191053.78999999998,True
2010Q4,57865,-1.0,-1.0,False
2010Q4,58001,-1.0,-1.0,False
2010Q4,58005,-1.0,-1.0,False
2010Q4,58378,-1.0,-1.0,False
2010Q4,58471,-1.0,-1.0,False
2010Q4,58562,-1.0,-1.0,False
2010Q4,59812,-1.0,-1.0,False
2010Q4,60122,-1.0,-1.0,False
2010Q4,60264,-1.0,-1.0,False
2010Q4,60459,-1.0,-1.0,False
2010Q4,60460,-1.0,-1.0,False
2010Q4,60468,-1.0,-1.0,False
2011Q1,9,7350.027,10347.71,True
2011Q1,127,914685.0,981976.31,True
2011Q1,298,3187605.0,3389073.96,True
2011Q1,3439,20086.0,20066.730000000003,True
2011Q1,3441,588053.0,608588.4400000001,True
2011Q1,3443,42708.0,43832.5,True
2011Q1,3452,97878.0,101463.16,True
2011Q1,3453,72203.0,75565.64,True
2011Q1,3456,444227.63,392220.31000000006,True
2011Q1,3457,413615.0,409438.49,True
2011Q1,3459,972987.0,1033481.89,True
